#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
123.473 1.182 30.0 -0.747766 1.24702 -0.49925 0.162876 -2.33123 -2.43852 25.0 X Y 0 SS-N
123.357 1.226 35.3 1.49458 -1.63665 0.142073 -1.11421 0.462183 -0.390441 24.0 X Y 1 R-SS
123.36 1.54 41.3 0.619733 -0.449779 -0.169954 -0.872746 -0.314814 -0.300839 24.0 X Y 2 R
123.36 1.33 33.0 1.71784 -1.57049 -0.147349 -4.06421 0.62643 0.568181 24.0 X Y 3 R
123.501 1.336 28.0 1.11522 -0.86189 -0.253333 -1.3989 -1.56487 -0.568577 24.0 X Y 4 R
123.62 1.42 33.0 0.333291 -0.283182 -0.0501089 -1.03177 0.284526 0.128571 24.0 X Y 5 R
123.357 1.372 34.6 1.29406 -1.70003 0.40597 -1.64332 1.54361 0.371164 24.0 X Y 6 R
123.575 1.256 35.0 1.24252 -1.2728 0.0302808 -0.904848 0.281543 -0.459471 24.0 X Y 7 R-SS
123.44 1.34 15.0 7.03874 -7.63005 0.591303 1.80307 2.11617 1.14495 23.0 X Y 8 R
123.394 1.245 25.0 3.85697 -3.51201 -0.344958 -7.6234 2.14977 1.10556 23.0 X Y 9 R
123.465 1.281 41.6 0.435215 -0.533251 0.0980363 -0.833654 0.399668 -0.00861274 24.0 X Y 10 R
123.4 1.46 29.0 -0.0957448 -1.31885 1.41459 -0.624456 -0.487879 0.0955117 24.0 X Y 11 SS-N
123.494 1.34 19.3 0.924633 -0.886012 -0.0386208 -1.27398 0.174209 0.194373 24.0 X Y 12 R
123.46 1.58 29.0 3.22838 -3.39127 0.162891 -1.43885 1.48032 0.782579 23.0 X Y 13 R
