#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
122.141 -0.297 20.0 0.0392254 0.3291 -0.368325 0.149731 -0.363646 -2.3403 24.0 X Y 0 SS
121.7 -0.9 36.0 0.0385811 7.66925 -7.70783 -0.605378 -0.124604 -1.89709 23.0 X Y 1 SS
121.45 -0.99 33.0 -1.16982 1.28008 -0.110265 5.42512 0.747491 -0.349976 23.0 X Y 2 N
121.88 -1.01 33.0 -0.329699 0.360776 -0.0310768 1.52901 0.210672 -0.0986366 24.0 X Y 3 N
121.88 -0.93 15.0 -3.2176 4.79111 -1.57351 -2.1841 -2.26933 -1.95214 23.0 X Y 4 N-SS
122.018 -0.733 20.1 -6.984 1.48641 5.49759 -0.03038 1.44863 -2.92952 23.0 X Y 5 N
121.95 -0.87 33.0 -1.48841 0.952397 0.536008 0.200639 0.322855 -0.813964 24.0 X Y 6 N
121.8 -1.26 42.0 0.38808 -0.639988 0.251908 -1.06831 0.321026 -0.66264 23.0 X Y 7 R-SS
121.87 -0.56 22.2 -0.0170801 1.31831 -1.30123 0.214763 0.153378 -2.48151 23.0 X Y 8 SS
121.77 -0.97 10.0 -4.18624 0.478725 3.70751 -1.9551 -4.08514 -5.18028 23.0 X Y 9 N-SS
121.929 -0.642 17.0 -0.926859 -0.445736 1.3726 -1.13869 0.000732829 -1.14294 24.0 X Y 10 N-SS
121.39 -1.03 18.3 1.55867 0.346879 -1.90554 -0.813378 0.138649 -0.458075 23.0 X Y 11 R-SS
121.617 -0.912 16.5 0.0965092 0.911933 -1.00844 0.301964 -0.0530252 0.0187704 24.0 X Y 12 SS
121.363 -0.907 15.3 -2.94757 3.66867 -0.721094 -2.60882 2.04752 -0.235123 23.0 X Y 13 N
122.378 -0.59 25.1 -0.427624 0.593031 -0.165407 -0.421311 1.23871 -0.637157 25.0 X Y 14 N
122.25 -0.66 17.6 -0.485171 1.24939 -0.764216 2.72245 0.628527 -2.61763 23.0 X Y 15 SS-N
121.95 -0.64 12.0 -3.86876 3.14514 0.723623 1.57839 0.689547 -2.07229 24.0 X Y 16 N
121.97 -0.68 12.0 -2.14131 1.77889 0.362421 0.873245 0.460892 -1.18071 25.0 X Y 17 N
121.52 -0.73 12.0 0.329765 5.88034 -6.21011 1.58912 0.662268 -0.469588 24.0 X Y 18 SS
