#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
126.72 3.07 20.1 1.1036 -0.996053 -0.107543 -1.36633 -1.33609 -0.499083 24.0 X Y 0 R
126.43 3.07 33.3 0.912737 0.10763 -1.02037 0.509481 1.14412 -0.0200419 24.0 X Y 1 R
126.501 3.021 45.6 5.56219 -0.323921 -5.23827 1.90559 5.8771 -1.3305 24.0 X Y 2 R
126.6 3.0 0.0 0.969289 0.122944 -1.09223 0.370254 -4.88648 -2.55621 23.0 X Y 3 R
126.68 2.94 47.2 1.28201 -0.351159 -0.930851 -0.50085 -0.785702 -0.571869 24.0 X Y 4 R
126.67 3.03 33.0 -0.874701 -0.916751 1.79145 1.35547 -1.90003 0.297438 23.0 X Y 5 N
126.528 2.932 35.0 7.59145 -0.1751 -7.41635 -0.169368 5.14485 -1.51133 24.0 X Y 6 R
126.71 2.98 45.3 0.964398 -0.014576 -0.949822 -0.0817386 0.540333 -0.209915 24.0 X Y 7 R
126.56 2.97 26.1 0.585546 0.244619 -0.830165 0.37848 -0.631446 -0.41354 24.0 X Y 8 R-SS
126.52 2.9 25.4 -0.0745522 1.2678 -1.19325 -0.674993 -0.499148 -0.537368 24.0 X Y 9 SS-N
126.43 2.94 31.8 3.78622 -0.486256 -3.29997 0.440871 -1.14851 1.26674 23.0 X Y 10 R
126.7 3.12 35.6 1.69511 -1.61434 -0.0807747 1.46953 -0.682328 -1.60474 23.0 X Y 11 R-SS
126.7 3.07 48.6 0.929629 -0.0327081 -0.896921 0.0965506 0.620529 -0.172263 24.0 X Y 12 R
126.6 3.04 46.1 5.32536 -0.597953 -4.72741 1.36085 0.497917 -1.99756 23.0 X Y 13 R
126.84 2.93 28.1 0.960998 -0.173943 -0.787055 0.092809 -0.482512 -0.480499 24.0 X Y 14 R
126.66 3.1 46.8 6.24414 -0.0539916 -6.19015 0.185779 4.90029 -0.62707 23.0 X Y 15 R
126.81 2.94 43.8 5.45094 -0.179363 -5.27158 0.336546 3.15219 -0.996973 24.0 X Y 16 R
126.71 3.01 41.7 1.91953 -0.0325538 -1.88698 0.1233 1.61378 -0.258673 25.0 X Y 17 R
