// 129 measurements of bedding (S0) surfaces from Bear Valley Strip Mine, southwest of 
// Shamokin, Pennsylvania. Collected on 2016 SUNY New Paltz field excursion by:
// Patwardan, K., Vollmer, F.W., Cabanillas, A., Daniels, J., Lounsberry, A.   
//
ID	Station	Zone	Easting	Northing	Latitude	Longitude	Strike	Dip	Type
71	BV16-JD08	30N	685078.288	78670.732	40.7634600	-76.5962000	70.0000	21.0000	S0
72	BV16-JD09	30N	685078.249	78670.674	40.7634300	-76.5962200	67.0000	18.0000	S0
73	BV16-JD10	30N	685078.132	78672.411	40.7643300	-76.5962800	76.0000	28.0000	S0
74	BV16-JD11	30N	685078.365	78672.488	40.7643700	-76.5961600	256.0000	21.0000	S0
75	BV16-JD12	30N	685077.646	78671.465	40.7638400	-76.5965300	248.0000	70.0000	S0
76	BV16-JD13	30N	685078.190	78671.272	40.7637400	-76.5962500	90.0000	30.0000	S0
77	BV16-JD14	30N	685078.385	78671.214	40.7637100	-76.5961500	88.0000	40.0000	S0
78	BV16-JD15	30N	685078.832	78671.253	40.7637300	-76.5959200	80.0000	58.0000	S0
79	BV16-JD16	30N	685080.658	78671.331	40.7637700	-76.5949800	71.0000	74.0000	S0
80	BV16-JD17	30N	685080.988	78671.273	40.7637400	-76.5948100	71.0000	64.0000	S0
81	BV16-JD18	30N	685082.018	78671.524	40.7638700	-76.5942800	80.0000	60.0000	S0
82	BV16-AL23	30N	685077.646	78671.600	40.7639100	-76.5965300	255.0000	49.0000	S0
83	BV16-AL23	30N	685077.646	78671.600	40.7639100	-76.5965300	248.0000	46.0000	S0
84	BV16-AL23	30N	685077.646	78671.600	40.7639100	-76.5965300	229.0000	56.0000	S0
85	BV16-AL23	30N	685077.646	78671.600	40.7639100	-76.5965300	246.0000	50.0000	S0
86	BV16-AL23	30N	685077.646	78671.600	40.7639100	-76.5965300	240.0000	70.0000	S0
87	BV16-AL23	30N	685077.646	78671.600	40.7639100	-76.5965300	235.0000	55.0000	S0
88	BV16-AL23	30N	685077.646	78671.600	40.7639100	-76.5965300	248.0000	65.0000	S0
89	BV16-AL24	30N	685078.113	78671.407	40.7638100	-76.5962900	95.0000	34.0000	S0
90	BV16-AL24	30N	685078.113	78671.407	40.7638100	-76.5962900	96.0000	33.0000	S0
91	BV16-AL24	30N	685078.113	78671.407	40.7638100	-76.5962900	85.0000	40.0000	S0
92	BV16-AL24	30N	685078.113	78671.407	40.7638100	-76.5962900	75.0000	39.0000	S0
93	BV16-AL25	30N	685078.346	78671.426	40.7638200	-76.5961700	86.0000	49.0000	S0
94	BV16-AL25	30N	685078.346	78671.426	40.7638200	-76.5961700	80.0000	45.0000	S0
95	BV16-AL25	30N	685078.346	78671.426	40.7638200	-76.5961700	87.0000	54.0000	S0
96	BV16-AL25	30N	685078.346	78671.426	40.7638200	-76.5961700	84.0000	44.0000	S0
97	BV16-AL26	30N	685078.540	78671.311	40.7637600	-76.5960700	95.0000	49.0000	S0
98	BV16-AL26	30N	685078.540	78671.311	40.7637600	-76.5960700	94.0000	56.0000	S0
99	BV16-AL26	30N	685078.540	78671.311	40.7637600	-76.5960700	84.0000	54.0000	S0
100	BV16-AL26	30N	685078.540	78671.311	40.7637600	-76.5960700	86.0000	55.0000	S0
101	BV16-AL27	30N	685078.598	78671.311	40.7637600	-76.5960400	89.0000	51.0000	S0
102	BV16-AL27	30N	685078.598	78671.311	40.7637600	-76.5960400	87.0000	62.0000	S0
103	BV16-AL27	30N	685078.598	78671.311	40.7637600	-76.5960400	82.0000	61.0000	S0
104	BV16-AL27	30N	685078.598	78671.311	40.7637600	-76.5960400	79.0000	59.0000	S0
105	BV16-AL28	30N	685078.890	78671.234	40.7637200	-76.5958900	87.0000	58.0000	S0
106	BV16-AL29	30N	685080.425	78671.253	40.7637300	-76.5951000	87.0000	70.0000	S0
107	BV16-AL29	30N	685080.425	78671.253	40.7637300	-76.5951000	84.0000	78.0000	S0
108	BV16-AL30	30N	685082.426	78671.466	40.7638400	-76.5940700	76.0000	34.0000	S0
109	BV16-AL30	30N	685082.426	78671.466	40.7638400	-76.5940700	98.0000	49.0000	S0
110	BV16-AL30	30N	685082.426	78671.466	40.7638400	-76.5940700	89.0000	49.0000	S0
111	BV16-AL30	30N	685082.426	78671.466	40.7638400	-76.5940700	81.0000	47.0000	S0
112	BV16-AC06	30N	685077.569	78671.947	40.7640900	-76.5965700	243.0000	49.0000	S0
113	BV16-AC06	30N	685077.569	78671.947	40.7640900	-76.5965700	247.0000	56.0000	S0
114	BV16-AC07	30N	685078.035	78671.214	40.7637100	-76.5963300	82.0000	41.0000	S0
115	BV16-AC07	30N	685078.035	78671.214	40.7637100	-76.5963300	70.0000	49.0000	S0
116	BV16-AC07	30N	685078.035	78671.214	40.7637100	-76.5963300	89.0000	46.0000	S0
117	BV16-AC08	30N	685078.443	78671.272	40.7637400	-76.5961200	81.0000	51.0000	S0
118	BV16-AC08	30N	685078.443	78671.272	40.7637400	-76.5961200	80.0000	55.0000	S0
119	BV16-AC08	30N	685078.443	78671.272	40.7637400	-76.5961200	76.0000	51.0000	S0
120	BV16-AC09	30N	685078.696	78671.272	40.7637400	-76.5959900	82.0000	62.0000	S0
121	BV16-AC09	30N	685078.696	78671.272	40.7637400	-76.5959900	81.0000	60.0000	S0
122	BV16-AC09	30N	685078.696	78671.272	40.7637400	-76.5959900	79.0000	60.0000	S0
123	BV16-AC10	30N	685080.483	78671.311	40.7637600	-76.5950700	78.0000	72.0000	S0
124	BV16-AC10	30N	685080.483	78671.311	40.7637600	-76.5950700	78.0000	80.0000	S0
125	BV16-AC10	30N	685080.483	78671.311	40.7637600	-76.5950700	85.0000	75.0000	S0
126	BV16-AC11	30N	685080.871	78671.331	40.7637700	-76.5948700	75.0000	68.0000	S0
127	BV16-AC11	30N	685080.871	78671.331	40.7637700	-76.5948700	74.0000	67.0000	S0
128	BV16-AC12	30N	685082.328	78671.563	40.7638900	-76.5941200	85.0000	47.0000	S0
129	BV16-AC12	30N	685082.328	78671.563	40.7638900	-76.5941200	78.0000	49.0000	S0
