#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
126.85 4.22 43.3 4.25201 -0.521307 -3.7307 0.813319 1.03516 -1.44389 24.0 X Y 0 R
126.9 4.17 40.9 5.32345 -0.668906 -4.65454 -0.484591 1.43393 -2.02636 23.0 X Y 1 R
126.69 4.23 24.5 5.30411 1.02519 -6.32931 -3.59845 1.09052 -3.7862 23.0 X Y 2 R-SS
126.702 4.031 33.9 4.49757 1.5481 -6.04566 2.79462 0.22372 1.20715 23.0 X Y 3 R-SS
126.647 3.993 37.8 6.74301 0.723817 -7.46683 2.48946 3.641 2.7014 23.0 X Y 4 R-SS
126.854 4.061 25.0 3.21926 0.00523361 -3.22449 0.129864 0.563453 0.0186346 24.0 X Y 5 R
126.77 4.1 30.9 3.04225 0.757786 -3.80003 1.55162 -0.826756 -0.789291 23.0 X Y 6 R-SS
126.765 4.123 26.7 4.23921 -0.129066 -4.11014 0.192118 -0.35341 -0.771215 23.0 X Y 7 R
126.837 4.087 25.7 4.29991 -1.69005e-16 -4.29991 -0.714533 0.150156 0.690016 23.0 X Y 8 R
126.811 4.129 28.0 3.72244 -0.329294 -3.39314 -0.3627 1.50826 -1.3553 23.0 X Y 9 R
126.77 4.1 26.3 3.08498 0.561126 -3.64611 1.58059 1.28755 -0.360317 23.0 X Y 10 R-SS
126.78 4.08 21.6 2.69523 0.0265321 -2.72176 -0.540239 -0.218271 0.516998 23.0 X Y 11 R
126.769 4.181 26.1 6.50896 0.128841 -6.6378 -1.76181 1.96131 1.05528 23.0 X Y 12 R
126.753 4.124 35.0 1.60752 0.0035193 -1.61104 0.213219 0.304002 -0.16294 25.0 X Y 13 R
126.802 4.085 29.1 4.66403 0.221127 -4.88516 1.22265 -0.749839 -0.901889 23.0 X Y 14 R
126.72 4.19 31.2 1.84466 0.0956936 -1.94035 1.37896 1.43992 -0.6164 23.0 X Y 15 R
126.691 4.208 24.8 3.09133 -0.238663 -2.85266 0.718072 1.66595 -0.846177 23.0 X Y 16 R
126.84 4.12 26.2 2.25823 0.45868 -2.71691 -1.11182 -0.170945 0.57628 23.0 X Y 17 R-SS
126.803 4.024 38.9 -1.06388 5.25951 -4.19563 -0.350766 2.11293 0.630493 24.0 X Y 18 SS-N
126.72 4.14 29.7 6.58127 0.00106266 -6.58233 -0.0896955 4.44496 -0.0997147 23.0 X Y 19 R
126.79 4.08 29.3 3.95944 0.0506752 -4.01012 -0.812786 1.80787 0.378389 24.0 X Y 20 R
126.73 4.03 26.6 -0.219212 0.739106 -0.519894 -0.69212 0.579285 0.109606 24.0 X Y 21 N-SS
