#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
122.014 -2.704 20.0 -0.415264 0.716456 -0.301193 0.892507 1.14303 0.281183 25.0 X Y 0 N
121.879 -2.668 38.0 -1.84775 6.65586 -4.80811 -0.841511 3.17214 3.56335 23.0 X Y 1 SS-N
122.471 -2.608 45.0 0.107981 1.23504 -1.34302 0.368461 0.535262 2.12469 24.0 X Y 2 SS
122.236 -2.963 35.2 0.156298 0.0417912 -0.198089 0.0821296 0.911125 0.392036 24.0 X Y 3 R
121.94 -2.65 15.0 0.0691066 0.796338 -0.865444 0.328403 0.47521 0.480927 24.0 X Y 4 SS-R
121.85 -2.59 10.0 0.0779095 2.51131 -2.58922 1.50586 2.83791 1.76716 24.0 X Y 5 SS-R
121.87 -2.63 16.4 1.05138 5.58966 -6.64104 3.17515 3.37815 1.83729 23.0 X Y 6 SS-R
121.939 -2.618 15.0 -0.0558478 0.655234 -0.599386 0.219081 0.621361 0.654967 24.0 X Y 7 SS-N
122.02 -2.67 10.0 -0.13633 5.25751 -5.12118 1.3038 1.65899 0.476881 23.0 X Y 8 SS
122.02 -2.63 12.0 -0.0558478 0.655234 -0.599386 0.219081 0.621361 0.654967 24.0 X Y 9 SS-N
122.383 -2.928 19.8 0.40603 2.96276 -3.36879 1.17024 0.671509 0.580087 24.0 X Y 10 SS-R
122.15 -2.76 16.0 -0.615613 2.93194 -2.31633 1.69414 2.87785 1.27678 24.0 X Y 11 SS-N
121.81 -2.62 15.7 -0.0587219 0.810451 -0.751729 0.49861 0.615732 0.136009 24.0 X Y 12 SS-N
121.65 -2.6 12.0 0.0723627 1.26534 -1.3377 0.351055 0.275252 0.313637 23.0 X Y 13 SS
122.16 -2.68 12.0 -0.308713 1.38915 -1.08043 1.13904 2.08641 0.834613 23.0 X Y 14 N
122.25 -2.66 13.2 -0.804912 1.15574 -0.350833 0.677796 3.24288 1.95446 23.0 X Y 15 N-SS
122.51 -2.59 29.2 -2.65834 2.73567 -0.0773275 0.414033 -0.559883 0.42434 23.0 X Y 16 N
122.34 -2.72 12.0 -0.032691 0.693451 -0.66076 0.0232197 0.485751 1.81254 23.0 X Y 17 SS
