#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
123.89 1.197 30.0 0.906938 -0.642918 -0.264019 -0.426935 -0.508342 -0.441329 25.0 X Y 0 R
124.043 1.089 30.7 0.986161 -0.0733437 -0.912817 0.256443 -0.139555 0.325078 24.0 X Y 1 R
124.014 1.038 30.9 5.58008 -0.397731 -5.18235 -1.61688 -0.518979 2.27898 24.0 X Y 2 R
124.023 1.141 34.8 1.52231 -0.429007 -1.0933 -0.0132064 -0.246847 0.69952 25.0 X Y 3 R
123.88 1.3 24.9 1.03074 -0.698158 -0.332585 0.198024 -0.357975 0.511207 24.0 X Y 4 R
124.081 1.055 33.6 0.949512 -0.368247 -0.581265 0.0617732 0.293526 0.51926 25.0 X Y 5 R
124.186 1.109 30.0 4.31041 -4.26014 -0.0502657 -1.08828 -0.23082 0.591196 24.0 X Y 6 R
124.117 1.024 32.2 1.03919 -1.04087 0.0016748 0.17464 -0.0812309 0.0570811 25.0 X Y 7 R
124.04 1.1 17.8 6.2016 -5.84205 -0.359541 0.757563 -0.72286 1.53458 24.0 X Y 8 R
124.21 0.97 39.4 0.913096 -0.679804 -0.233292 0.612207 0.116475 -0.442051 24.0 X Y 9 R
124.27 1.16 33.0 -0.482667 -2.59088 3.07355 3.43243 -1.09187 -3.23308 23.0 X Y 10 SS-N
