#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position(GMT) Y_position(GMT) ID rupture_type
124.74 -7.76 44.3 2.68135 -2.11256 -0.568798 -1.50204 -0.743978 -1.09651 24.0 X Y 0 R
124.88 -7.71 33.0 0.894161 -0.758778 -0.135383 -0.546384 0.135235 -0.49528 24.0 X Y 1 R-SS
124.773 -7.846 30.5 0.907157 -0.574401 -0.332755 0.318089 -0.542578 0.481202 24.0 X Y 2 R
125.043 -7.81 15.0 0.976665 -0.98611 0.00944508 0.286944 0.192416 -0.118018 24.0 X Y 3 R
124.77 -7.99 23.6 2.22483 -3.40787 1.18304 -0.63459 -2.20449 -1.26687 23.0 X Y 4 R-SS
125.06 -7.97 13.0 6.36089 -5.68434 -0.676552 -4.63257 -0.49243 -2.18571 23.0 X Y 5 R
124.928 -7.916 10.0 1.23131 -1.23935 0.00804483 -0.777553 -0.219839 -0.0935473 24.0 X Y 6 R
125.174 -7.892 17.5 -0.340248 5.67611 -5.33586 0.729728 -1.60835 -0.602019 23.0 X Y 7 SS
124.716 -7.931 26.1 0.846142 -0.986259 0.140117 0.885714 -0.344691 -0.384722 24.0 X Y 8 R-SS
124.82 -7.993 29.6 0.378322 5.33145 -5.70977 1.42032 -0.387644 -1.38623 24.0 X Y 9 SS
